x(m),y(m),z(m),Serving_PCI,Serving_RSRP(dBm),Serving_SINR(dB),Detected_PCI,Detected_RSRP(dBm),Detected_SINR(dB)
777.84,2323.04,75,2,-86.11,13.22,,,
375.36,2323.38,75,2,-78.36,18.46,,,
576.75,2326.1,75,2,-90.68,13.38,,,
-169.54,2328.25,75,1,-74.27,15.64,,,
980.43,2331.45,75,13,-88.81,3.82,,,
-230.54,2333.05,75,1,-84.97,12.25,,,
173.53,2334.17,75,8,-85.44,13.13,,,
-32.59,2335.41,75,1,-77.12,12.01,,,
777.88,2337.99,75,2,-82.76,16.36,,,
375.35,2338.27,75,2,-78.2,19.87,,,
576.78,2341.01,75,2,-92.25,12.48,,,
-170.75,2343.38,75,1,-74.3,16.36,,,
980.42,2346.4,75,13,-90.2,3.15,,,
-230.51,2347.94,75,1,-85.9,13.96,,,
173.52,2349.13,75,8,-84.83,1.26,,,
-32.48,2350.34,75,1,-78.0,12.76,,,
777.95,2352.9,75,2,-88.4,10.75,,,
375.36,2353.19,75,2,-78.18,20.81,,,
576.82,2355.92,75,2,-96.63,8.11,,,
-171.99,2359.14,75,1,-76.0,17.93,,,
980.39,2361.39,75,13,-88.8,5.64,,,
-230.46,2362.79,75,1,-84.48,11.77,,,
173.51,2364.08,75,8,-84.97,12.44,,,
-32.4,2365.23,75,1,-78.47,11.1,,,
778.04,2367.83,75,2,-86.69,12.96,,,
375.41,2368.13,75,2,-78.95,17.36,,,
576.84,2370.88,75,2,-97.16,6.86,,,
-173.15,2374.87,75,1,-78.75,16.85,,,
980.38,2376.37,75,13,-90.56,3.05,,,
-230.41,2377.65,75,1,-84.16,16.35,,,
173.5,2379.03,75,8,-85.47,14.32,,,
-32.35,2380.08,75,1,-77.58,10.92,,,
778.08,2382.73,75,2,-86.43,9.92,,,
375.46,2383.06,75,2,-78.58,18.54,,,
576.84,2385.81,75,2,-98.16,6.5,,,
-174.27,2390.21,75,1,-78.47,18.13,,,
980.39,2391.28,75,13,-89.57,4.27,,,
-230.37,2392.6,75,1,-86.48,12.38,,,
173.49,2393.96,75,8,-85.0,12.67,,,
-32.31,2394.92,75,1,-77.06,11.89,,,
778.09,2397.59,75,2,-90.07,10.98,,,
375.48,2397.91,75,2,-79.23,16.61,,,
576.82,2400.68,75,8,-96.47,1.18,,,
-175.39,2405.24,75,1,-79.11,15.39,,,
980.4,2406.14,75,13,-90.12,4.01,,,
-230.32,2407.57,75,1,-84.97,13.92,,,
173.47,2408.9,75,8,-85.79,13.22,,,
-32.27,2409.81,75,1,-76.65,12.8,,,
778.12,2412.48,75,2,-88.48,13.05,,,
375.49,2412.76,75,2,-81.5,15.64,,,
576.79,2415.58,75,8,-92.57,5.9,,,
-176.54,2420.16,75,1,-80.04,16.36,,,
980.4,2421.06,75,13,-92.15,9.33,,,
-230.29,2422.51,75,1,-85.76,18.36,,,
173.45,2423.79,75,8,-85.68,13.44,,,
-32.22,2424.68,75,1,-76.9,13.38,,,
778.18,2427.39,75,2,-88.36,14.53,,,
375.5,2427.72,75,2,-80.36,16.29,,,
576.75,2430.49,75,8,-95.11,2.26,,,
-177.67,2435.08,75,1,-80.62,15.92,,,
980.4,2436.27,75,13,-88.54,6.23,,,
-230.26,2437.45,75,1,-84.36,16.27,,,
173.43,2438.72,75,8,-86.27,13.42,,,
-32.16,2439.56,75,1,-77.12,14.18,,,
778.24,2442.33,75,2,-85.68,8.21,,,
375.52,2442.7,75,2,-84.25,13.56,,,
576.73,2445.41,75,8,-93.12,2.13,,,
-178.81,2449.95,75,1,-78.95,15.71,,,
980.41,2452.03,75,13,-89.4,11.34,,,
-230.23,2452.4,75,1,-83.94,15.09,,,
173.39,2453.7,75,8,-86.65,13.36,,,
-32.09,2454.46,75,1,-76.88,13.65,,,
778.29,2457.33,75,2,-87.93,10.82,,,
375.55,2457.65,75,2,-81.47,15.69,,,
576.75,2460.36,75,13,-91.88,9.04,,,
-179.96,2464.83,75,1,-80.76,15.84,,,
-230.21,2467.33,75,1,-83.83,14.22,,,
980.44,2468.18,75,13,-87.87,9.51,,,
173.36,2468.69,75,8,-85.94,13.61,,,
-32.02,2469.35,75,1,-76.84,15.34,,,
